                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     84,                 0.7392,                0.48408,                 1.0778,                0.78524,                0.69231,                0.75918,                 0.4004,                 1.8932,                 1.2721,                 2.3695,               0.001783,               0.001783,               0.001783
                     85,                 0.7615,                0.46827,                 1.0747,                0.81606,                 0.6541,                0.73655,                0.39057,                 1.8964,                 1.2211,                 2.4141,               0.001684,               0.001684,               0.001684
                     86,                0.74183,                0.47156,                 1.0733,                0.71124,                0.73077,                0.75323,                0.39332,                 1.9312,                 1.1485,                 2.3803,               0.001585,               0.001585,               0.001585
                     87,                0.73188,                0.46428,                 1.0636,                0.72992,                0.72764,                0.74133,                0.39267,                 1.8893,                 1.1622,                 2.3129,               0.001486,               0.001486,               0.001486
                     88,                0.74428,                0.45787,                  1.063,                0.69455,                0.72436,                0.74274,                0.39321,                 1.8488,                 1.2102,                 2.2821,               0.001387,               0.001387,               0.001387
                     89,                0.74285,                0.47361,                 1.0669,                0.74417,                0.68993,                0.74273,                0.38878,                 1.8869,                 1.2251,                 2.3094,               0.001288,               0.001288,               0.001288
                     90,                0.71883,                0.47126,                 1.0639,                0.81016,                0.67949,                0.74488,                0.38183,                 1.9067,                 1.2352,                 2.3689,               0.001189,               0.001189,               0.001189
                     91,                0.71144,                0.46532,                  1.052,                0.74235,                0.73877,                0.74955,                0.38236,                 1.9308,                  1.346,                 2.3715,                0.00109,                0.00109,                0.00109
                     92,                0.69033,                0.44269,                 1.0465,                0.80641,                0.64744,                0.73529,                0.38678,                 1.9461,                 1.3566,                 2.3783,               0.000991,               0.000991,               0.000991
                     93,                0.71068,                0.43831,                   1.06,                0.72079,                0.71154,                 0.7377,                0.39069,                  1.902,                 1.2948,                 2.3205,               0.000892,               0.000892,               0.000892
                     94,                 0.6844,                0.42462,                 1.0419,                0.77911,                0.66026,                0.74454,                0.39942,                 1.8865,                 1.3478,                 2.3194,               0.000793,               0.000793,               0.000793
                     95,                0.66676,                0.41873,                 1.0313,                0.74599,                0.71795,                0.74704,                0.39664,                 1.8736,                 1.4116,                 2.3299,               0.000694,               0.000694,               0.000694
                     96,                0.64518,                0.40987,                 1.0174,                0.73198,                0.71795,                0.74318,                0.39663,                 1.9113,                 1.4183,                 2.3609,               0.000595,               0.000595,               0.000595
                     97,                0.66399,                0.43155,                 1.0225,                0.72954,                0.72624,                0.74696,                0.39567,                 1.9428,                 1.3893,                 2.3897,               0.000496,               0.000496,               0.000496
                     98,                0.67686,                0.44677,                  1.038,                0.71708,                0.71795,                0.73845,                0.39202,                 2.0015,                 1.3486,                 2.4108,               0.000397,               0.000397,               0.000397
                     99,                0.64918,                0.41988,                 1.0119,                0.70881,                0.73077,                0.73921,                0.38658,                 2.0321,                 1.3348,                 2.4296,               0.000298,               0.000298,               0.000298
